Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",la persona que ha traído tanta tristeza y dolor a su vida está (confinado) [confinada],confinado,,confinada,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",tengan que aprender a sobrevivir en un ambiente nocivo para su (mentalidad) [salud mental],mentalidad,,salud mental,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",tengan que aprender a sobrevivir en un ambiente nocivo (por) [para] su salud mental,por,"IDO1_2 - por
>> que era celebérrimo por ser uno de
>> amigos , preocupados por ella , la
>> muerto , razón por la que no
>> los arbustos movidos por el viento y
>> parque , separada por un recinto ,
>> , se ponía por el lado de
>> árbol que , por culpa de un

IDO1_3 - por
>> universidad , y por eso le fue
>> a los doctores por tres meses para
>> paciente era caracterizada por ser extremamente toxica
>> a Harleen solo por su cuerpo ,
>> continuaron cometiendo crímenes por un periodo ,
>> había casi matada por celos , y

IDO1_4 - por
>> cerebro se fría por el intenso aroma
>> a beber algo por la tarde .

",para,"IDO1_2 - para
>> utilizar su móvil para crear luz ,
>> de las tinieblas para raptar la ,
>> que podía ver para poder se sentir
>> el camino , para no hacer se
>> comenzó a mirar para el árbol ,
>> que la alcanzó para después matar la

IDO1_3 - para
>> por tres meses para que pudiera analizar
>> , se encontraron para formar una pareja
>> cambiado su apariencia para que las autoridades

IDO1_4 - para
>> Consejos para conquistar a tu
>> los consejos perfectos para hacer te notar
>> Ponte tanto perfume para que tu cerebro
>> quiere un publico para manifestar su narcisismo
>> tu casa , para "" ver esta
>> Llegarás allí , para ver una habitación
>> no está listo para nada serio ,

"
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']","por consiguiente, esta idea apoya la (idea) [tesis] según la cual las cárceles",idea,,tesis,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",para evitar la exposición de (criminales minores) [delincuentes menores] a los que,criminales minores,,delincuentes menores,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",que deberían permanecer encerrados en su celda por el resto de (su vida) [sus vidas],su vida,,sus vidas,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",se puede determinar que las cárceles (son) sí [son] un lugar que debe existir,son,"IDO1_2 - son
>> horario irrazonable : eran las tres de
>> casa , cuando sea más seguro ”
>> El sendero era particularmente silencioso ,
>> El lugar era tan tranquilo ,
>> , el sendero era bastante oscuro ,
>> Lo ideal habría sido utilizar su móvil
>> estado de confusión eran igualmente espantosas .
>> Inolvidable será el árbol que

IDO1_3 - son
>> Harleen era una de las
>> , su nombre era Joker , la
>> de Harleen , fue capaz de huir
>> dos llegaron a ser libres , se
>> con el paciente era caracterizada por ser
>> lo que previamente era su amor .
>> ella , que era aún enamorada perdidamente

IDO1_4 - son
>> que ( aunque sea increíblemente mediocre )
>> El problema es que él te
>> un coño que seas profunda , intelectual
>> Lo que importa es que tu pelo
>> que nunca ha sido limpiada , unas
>> lo imbécil que es .
>> , si sigues siendo enamorada de él

",son,"IDO1_2 - son
>> horario irrazonable : eran las tres de
>> casa , cuando sea más seguro ”
>> El sendero era particularmente silencioso ,
>> El lugar era tan tranquilo ,
>> , el sendero era bastante oscuro ,
>> Lo ideal habría sido utilizar su móvil
>> estado de confusión eran igualmente espantosas .
>> Inolvidable será el árbol que

IDO1_3 - son
>> Harleen era una de las
>> , su nombre era Joker , la
>> de Harleen , fue capaz de huir
>> dos llegaron a ser libres , se
>> con el paciente era caracterizada por ser
>> lo que previamente era su amor .
>> ella , que era aún enamorada perdidamente

IDO1_4 - son
>> que ( aunque sea increíblemente mediocre )
>> El problema es que él te
>> un coño que seas profunda , intelectual
>> Lo que importa es que tu pelo
>> que nunca ha sido limpiada , unas
>> lo imbécil que es .
>> , si sigues siendo enamorada de él

"
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",la cárcel: ¿una condena o una segunda (posibilidad) [oportunidad]?,posibilidad,,oportunidad,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",si pensamos (a) [en] las cárceles y las personas que,a,"IDO1_2 - a
>> Laura decidió volver a su piso a
>> : “ Duerme a nuestra casa hoy
>> particularmente silencioso , a veces se oían
>> tranquilo , que a veces lo único
>> de la calle a el lado de
>> parque , volvía a el lado interno
>> total , comenzó a mirar para el
>> , se pone a correr pensando que
>> , habría llegado a casa sana y

IDO1_3 - a
>> donde Harleen imploró a los doctores por
>> y , gracias a la ayuda de
>> los dos llegaron a ser libres ,
>> veces Joker utilizaba a Harleen solo por
>> , quiso eliminar a lo que previamente
>> casi logra matar a Joker , pero
>> llegaron de nuevo a un punto de
>> afloja , donde a veces se amaron

IDO1_4 - a
>> Consejos para conquistar a tu crush
>> vez que vas a tu puesto de
>> mismo , gracias a los consejos perfectos
>> A los chicos le
>> dejar ningún espacio a la imaginación .
>> le puedan interesar a él , como
>> te ha invitado a beber algo por
>> Casi has llegado a su corazón ,
>> tenéis , pero a ti que te

",en,"IDO1_2 - en
>> una fantástica velada en compañía de sus
>> y se fue en la calle oscura
>> se de todo en estos estados de
>> poder se sentir en control de una
>> imágenes que veía en este estado de
>> ; Laura , en estado de pánico
>> una piedra atrapada en el terreno resbaladizo
>> la allí , en el parque ,

IDO1_3 - en
>> puesto como residente en un psiquiátrico ,
>> Él la sedujo en sus sesiones de
>> doctores la encerraron en una celda ,
>> , la puso en un cohete ,
>> amaron y colaboraron en sus crímenes y
>> hizo terapista , en la esperanza de

IDO1_4 - en
>> tu vida pensando en él , la
>> ni una neurona en su cerebro )
>> él , viendo en ti un lado
>> finalmente unir te en momentos de pasión

"
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",las personas que tristemente llegan a estos lugares por (cualquiera) [cualquier] motivación,cualquiera,"IDO1_2 - cualquiera
>> desesperada , analizaba cualquier ruido o imagen

",cualquier,"IDO1_2 - cualquier
>> desesperada , analizaba cualquier ruido o imagen

"
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",que deberían (ser cerrados) [permanecer encerrados] en su celda por el resto de sus vidas,ser cerrados,,permanecer encerrados,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",otro aspecto que también muchas veces se ignora es que (en un modo o en el otro) [de un modo u otro],en un modo o en el otro,,de un modo u otro,
IDO1,IDO1_1,"['IDO1_2', 'IDO1_3', 'IDO1_4']",en este pequeño (articulo) [artículo],articulo,,artículo,
