Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",claro que esto se hace (de manera parcial) [parcialmente] con castigos,de manera parcial,,0,parcialmente,,0,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",como quitar la libertad (de) [a] los presos,de,-,0,a,"ICE1_2 - a
>> y dañen tanto a el planeta como
>> ha ayudado mucho a alcanzar su objetivo
>> que contribuyen fuertemente a el calentamiento global

ICE1_3 - a
>> Debido a que todavía existe
>> cosas solo benefician a las personas que
>> aún más adineradas a causa de la
>> A pesar de el
>> y en cuanto a la pobreza ,

ICE1_4 - a
>> este año debido a presuntos ataques de
>> después de asistir a una fiesta en
>> muerte se atribuyó a un accidente marítimo
>> nadie pudo salvar a la víctima .
>> ocasión , debido a múltiples testigos ,
>> de 3.000 dólares a quien pueda encontrar
>> Martin Brody garantizó a la población su
>> que no vuelva a ocurrir una tragedia
>> cerraron las playas a el público en

",3,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",la rehabilitación y la integración no son (sólo) [solo] responsabilidad del sistema penitenciario,sólo,,0,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

",1,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']","un preso puede ser condenado [desde] por un delito menor, como la posesión de drogas, hasta por",,,0,desde,"ICE1_2 - desde
>> rayos ultravioletas , desde dilemas pequeñas como
>> proyecto en curso desde hace muchos años

ICE1_4 - desde
>> la decisión correcta desde el principio y

",1,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",se puede decir que la cárcel (sólo) [solo] debe servir como castigo para quienes cometen delitos,sólo,,0,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

",1,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",y para intentar evitar que vuelvan a cometer (sus) delitos,sus,"ICE1_2 - sus
>> mucho a alcanzar su objetivo de eliminar
>> afirman que con su prohibición se ha

ICE1_3 - sus
>> de temporada en su país , o

ICE1_4 - sus
>> depende principalmente de sus playas durante el
>> En principio , su muerte se atribuyó
>> un tiburón en sus playas , y
>> la playa con su madre cuando ocurrió
>> que mató a su hijo .
>> a la población su seguridad con la

",1,,,0,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']","una cárcel debería disuadir a los delincuentes, además de rehabilitarlos, pero parece que no (hacen) [hace] ni lo uno ni lo otro",hacen,"ICE1_2 - hacen
>> en curso desde hace muchos años ,

ICE1_3 - hacen
>> fácil que nunca hacer negocios con personas
>> comprar un coche hecho en Alemania ;
>> ricas se han hecho aún más adineradas
>> un siglo para hacer se realidad ,

ICE1_4 - hacen
>> de que estamos haciendo todo lo posible
>> que se puede hacer es esperar que

",0,hace,"ICE1_2 - hace
>> en curso desde hace muchos años ,

ICE1_3 - hace
>> fácil que nunca hacer negocios con personas
>> comprar un coche hecho en Alemania ;
>> ricas se han hecho aún más adineradas
>> un siglo para hacer se realidad ,

ICE1_4 - hace
>> de que estamos haciendo todo lo posible
>> que se puede hacer es esperar que

",1,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",artículos afirman que (sólo) [solo] el 20% de los presos reinciden,sólo,,0,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

",1,0
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",sugiere que el sistema actual no funciona y [que] hay que abordar los problemas subyacentes,,,0,que,"ICE1_2 - que
>> calentamiento global , que está causando una
>> Todos sabemos que el ser humano
>> Americana se reveló que la capa de
>> atmósfera terrestre , que funciona como un
>> pueden aparecer agujeros que permiten que estes
>> Montreal , lo que es un acuerdo
>> de las sustancias que más agotan la
>> países , algo que le ha ayudado
>> hasta este año que se ha puesto
>> Además de impedir que la capa de
>> efecto invernadero , que contribuyen fuertemente a
>> Es importante que sigamos avanzando en
>> ozono , sabemos que es posible arreglar
>> la necesidad de que seamos más conscientes

ICE1_3 - que
>> las nuevas tecnologias que han aparecido en
>> Debido a que todavía existe mucha
>> Queda claro que poder intercambiar bienes
>> nivel de crecimienta que ha alcanzado la
>> puede ver claramente que la lucha contra
>> esa repetición muestra que algo debe cambiar
>> La globalización sí que puede tener efectos
>> pobreza , tenemos que hacer algo ahora
>> naciones no significa que no hay pobreza
>> Hay que tener un equilibrio

ICE1_4 - que
>> joven bañadora , que ha sido nombrada
>> pero ahora sabemos que era mentira ,
>> se ha descubierto que esta mentira fue
>> la playa , que podría haber se
>> un niño joven que había estado disfrutando
>> a el tiburón que mató a su
>> Es evidente que todo el pueblo
>> la seguridad de que estamos haciendo todo
>> y es probable que se impongan sanciones
>> , todo lo que se puede hacer

",9,1
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",hasta (otras) [otros] más graves como el cáncer de piel y las cataratas,otras,"ICE1_3 - otras
>> estén en el otro lado de el
>> y servicios con otros países es un

ICE1_4 - otras
>> se ha producido otra tragedia en el
>> peligrosa decisión provocó otra muerte en la
>> pueblo no vea otro desastre fatal ,

",0,otros,"ICE1_3 - otros
>> estén en el otro lado de el
>> y servicios con otros países es un

ICE1_4 - otros
>> se ha producido otra tragedia en el
>> peligrosa decisión provocó otra muerte en la
>> pueblo no vea otro desastre fatal ,

",5,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",como demuestra el éxito del Protocolo de Montreal en (reparar) [la reparación de] la capa de ozono,reparar,,0,la reparación de,,0,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']","en la actualidad, puede resultar un poco difícil (encontra) [encontrar] buenas noticias",encontra,"ICE1_3 - encontra
>> , se puede encontro fruta que no

",1,encontrar,"ICE1_3 - encontrar
>> la globalización para encontrar soluciones internacionales para

ICE1_4 - encontrar
>> a quien pueda encontrar a el tiburón
>> y pescadores para encontrar y matar a

",3,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",y dañen tanto (al) [el] planeta como a todos los seres vivos,al,"ICE1_3 - a el
>> solo benefician a las personas que tienen
",0,el,"ICE1_3 - el
>> La globalización , ¿
>> mucha frecuencia sobre la globalización .
>> Con las nuevas tecnologias que
>> ha realmente mejorado las vidas de las
>> solo benefician a las personas que tienen
>> un cuarto de la población mundial vive
>> como África , la globalización no ha
>> ver claramente que la lucha contra pobreza
>> A pesar de el mercado global ,
>> La globalización sí que
>> - pero también los ha destruido .
>> En Alemania , la globalización ha provocado
>> Para concluir , la globalizacion es tanto
>> Ha cambiado completamente la economia de el
>> , y aprovechar las oportunidades que nos

ICE1_4 - el
>> Horror en la Playa
>> otra tragedia en el pueblo costero de
>> La pequeña comunidad depende
>> Sin embargo , la diversión ha cesado
>> La primera fatalidad vino
>> Desapareció en la madrugada , después
>> suceso reveló también la corrupción en el
>> fue proporcionada por el propio alcalde de
>> otra muerte en la playa , que
>> estaban presentes durante el ataque , pero
>> múltiples testigos , el alcalde no pudo
>> La víctima era un
>> La madre de el
>> evidente que todo el pueblo está conmocionado
>> Tengan la seguridad de que
>> La policía seguirá investigando
>> es esperar que el pueblo no vea

",5,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']","el Protocolo de Montreal, (lo que es) un acuerdo internacional",lo que es,,0,,,0,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",que permiten que (estes) [estos] rayos nocivos lleguen hasta nosotros,estes,"ICE1_3 - estes
>> Alemania ; pero estas cosas solo benefician
>> universal , pero esto tardó más de

ICE1_4 - estes
>> Esta semana se ha
>> cesado de repente este año debido a
>> Este triste suceso reveló
>> ha descubierto que esta mentira fue proporcionada
>> Esta peligrosa decisión provocó
>> En esta ocasión , debido
>> una tragedia como esta . ""
>> En este punto , todo

",0,estos,"ICE1_3 - estos
>> Alemania ; pero estas cosas solo benefician
>> universal , pero esto tardó más de

ICE1_4 - estos
>> Esta semana se ha
>> cesado de repente este año debido a
>> Este triste suceso reveló
>> ha descubierto que esta mentira fue proporcionada
>> Esta peligrosa decisión provocó
>> En esta ocasión , debido
>> una tragedia como esta . ""
>> En este punto , todo

",4,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",desde dilemas (pequeñas) [pequeños],pequeñas,"ICE1_4 - pequeñas
>> La pequeña comunidad depende principalmente

",0,pequeños,"ICE1_4 - pequeños
>> La pequeña comunidad depende principalmente

",1,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",desde (dilemas) [problemas] pequeños,dilemas,,0,problemas,"ICE1_3 - problemas
>> para combatir contra problemas tales como la

",1,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",lo que demuestra aún más el [extenso] éxito (extenso) provocado por el protocolo,extenso,,0,extenso,,0,0
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",para poder disfrutar de (nuestra) [nuestro] planeta el mayor tiempo posible,nuestra,"ICE1_3 - nuestra
>> que ha cambiado nuestra manera de vivir

",0,nuestro,"ICE1_3 - nuestro
>> que ha cambiado nuestra manera de vivir

",1,0
ICE1,ICE1_3,['ICE1_4'],enseñanza (público) [pública] universal,público,"ICE1_4 - público
>> playas a el público en cuanto se

",0,pública,"ICE1_4 - pública
>> playas a el público en cuanto se

",0,0
ICE1,ICE1_3,['ICE1_4'],y [no] hacen nada para disminuir la tasa de pobreza,,,0,no,"ICE1_4 - no
>> , que egoístamente no quería cerrar las
>> , el alcalde no pudo negar la
>> posible para que no vuelva a ocurrir
>> investigando por qué no se cerraron las
>> que el pueblo no vea otro desastre

",0,0
ICE1,ICE1_3,['ICE1_4'],se puede (encontra) [encontrar] fruta que no esté de temporada,encontra,,0,encontrar,"ICE1_4 - encontrar
>> a quien pueda encontrar a el tiburón
>> y pescadores para encontrar y matar a

",2,0
ICE1,ICE1_3,['ICE1_4'],hacer negocios con personas (quienes) [que] quizás estén en el otro lado del mundo,quienes,"ICE1_4 - quienes
>> 3.000 dólares a quien pueda encontrar a

",0,que,"ICE1_4 - que
>> joven bañadora , que ha sido nombrada
>> pero ahora sabemos que era mentira ,
>> se ha descubierto que esta mentira fue
>> la playa , que podría haber se
>> un niño joven que había estado disfrutando
>> a el tiburón que mató a su
>> Es evidente que todo el pueblo
>> la seguridad de que estamos haciendo todo
>> y es probable que se impongan sanciones
>> , todo lo que se puede hacer

",3,0
ICE1,ICE1_3,['ICE1_4'],mientras (tanto) [que] las personas más ricas,tanto,,0,que,"ICE1_4 - que
>> joven bañadora , que ha sido nombrada
>> pero ahora sabemos que era mentira ,
>> se ha descubierto que esta mentira fue
>> la playa , que podría haber se
>> un niño joven que había estado disfrutando
>> a el tiburón que mató a su
>> Es evidente que todo el pueblo
>> la seguridad de que estamos haciendo todo
>> y es probable que se impongan sanciones
>> , todo lo que se puede hacer

",0,0
ICE1,ICE1_3,['ICE1_4'],"en cuanto [a] la pobreza, tenemos que hacer algo ahora",,,0,a,"ICE1_4 - a
>> este año debido a presuntos ataques de
>> después de asistir a una fiesta en
>> muerte se atribuyó a un accidente marítimo
>> nadie pudo salvar a la víctima .
>> ocasión , debido a múltiples testigos ,
>> de 3.000 dólares a quien pueda encontrar
>> Martin Brody garantizó a la población su
>> que no vuelva a ocurrir una tragedia
>> cerraron las playas a el público en

",0,0
ICE1,ICE1_3,['ICE1_4'],con las nuevas (tecnologias) [tecnologías],tecnologias,,0,tecnologías,,0,0
ICE1,ICE1_3,['ICE1_4'],¿pero ha realmente mejorado las vidas de (las personas del) [todo el] mundo?,las personas del,,0,todo el,"ICE1_4 - todo el
>> Es evidente que todo el pueblo está conmocionado

",1,0
ICE1,ICE1_3,['ICE1_4'],que no esté de temporada en (su) [el propio] país,su,"ICE1_4 - su
>> depende principalmente de sus playas durante el
>> En principio , su muerte se atribuyó
>> un tiburón en sus playas , y
>> la playa con su madre cuando ocurrió
>> que mató a su hijo .
>> a la población su seguridad con la

",0,el propio,"ICE1_4 - el propio
>> fue proporcionada por el propio alcalde de el

",1,0
ICE1,ICE1_3,['ICE1_4'],pero estas (cosas) [comodidades] solo benefician a las personas que tienen dinero,cosas,,0,comodidades,,0,0
ICE1,ICE1_3,['ICE1_4'],que se puede ver (a través del) [en el] mundo entero,a través del,,0,en el,"ICE1_4 - en el
>> Horror en la Playa
>> producido otra tragedia en el pueblo costero de
>> ataques de tiburones en la zona .
>> primera fatalidad vino en la forma de una
>> Desapareció en la madrugada , después
>> también la corrupción en el ayuntamiento .
>> provocó otra muerte en la playa , que

",6,1
ICE1,ICE1_3,['ICE1_4'],el mismo nivel de (crecimienta) [crecimiento] que ha alcanzado la población,crecimienta,,0,crecimiento,,0,0
ICE1,ICE1_3,['ICE1_4'],que ha alcanzado la (demográfica) [población],demográfica,,0,población,"ICE1_4 - población
>> garantizó a la población su seguridad con

",1,0
ICE1,ICE1_3,['ICE1_4'],han ocurrido (varios) [varias] crisis (financieros) [financieras],"varios, financieros","ICE1_4 - financieros
>> temía el impacto financiero .

",0,"varias, financieras","ICE1_4 - financieras
>> temía el impacto financiero .

",1,0
ICE1,ICE1_3,['ICE1_4'],han ocurrido varias (crises) [crisis] financieras,crises,,0,crisis,,0,0
ICE1,ICE1_3,['ICE1_4'],la globalización ha (provocado) [dado lugar a la] enseñanza pública universal,provocado,"ICE1_4 - provocado
>> Esta peligrosa decisión provocó otra muerte en

",0,dado lugar a la,,0,0
ICE1,ICE1_3,['ICE1_4'],esto tardó más de un siglo (para) [en] hacerse realidad,para,"ICE1_4 - para
>> de todas partes para disfrutar de el
>> personas y pescadores para encontrar y matar
>> todo lo posible para que no vuelva

",0,en,"ICE1_4 - en
>> Horror en la Playa
>> producido otra tragedia en el pueblo costero
>> ataques de tiburones en la zona .
>> primera fatalidad vino en la forma de
>> Desapareció en la madrugada ,
>> también la corrupción en el ayuntamiento .
>> En principio , su
>> provocó otra muerte en la playa ,
>> En esta ocasión ,
>> a el público en cuanto se produjo
>> En este punto ,

",0,0
ICE1,ICE1_3,['ICE1_4'],ha cambiado completamente la (economia) [economía] del mundo,economia,,0,economía,,0,0
ICE1,ICE1_3,['ICE1_4'],para combatir (contra) problemas tales como la pobreza,contra,,0,,,0,0
ICE1,ICE1_4,,"en este (punto) [momento], todo lo que se puede hacer es esperar",punto,,,momento,,,
ICE1,ICE1_4,,hemos contratado a (las mejores personas) [los mejores profesionales] y pescadores,las mejores personas,,,los mejores profesionales,,,
ICE1,ICE1_4,,(que ha sido nombrada como) [llamada] Chrissie Watkins,que ha sido nombrada como,,,llamada,,,
ICE1,ICE1_4,,la primera fatalidad vino en (la) forma de una joven nadadora,la,,,,,,
ICE1,ICE1_4,,una joven (bañadora) [nadadora],bañadora,,,nadadora,,,
ICE1,ICE1_4,,ahora se ha descubierto que esta mentira fue (proporcionada) [elucubrada] por el propio alcalde,proporcionada,,,elucubrada,,,
ICE1,ICE1_4,,la víctima era un niño (joven),joven,,,,,,
ICE1,ICE1_4,,cuando ocurrió la [brutal] tragedia (brutal),brutal,,,brutal,,,
