Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']","si han pasado años viviendo aislados en un lugar artificial, sin responsabilidad (ninguna) [alguna]",ninguna,,alguna,"ARE1_2 - alguna
>> iba a dejar algunas fachadas dañadas .

ARE1_3 - alguna
>> Algunos , por otro

"
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",lleguen a ser (unas) personas más reflexivas,unas,"ARE1_2 - unas
>> Crónica de una granizada
>> y girasoles y una serena tranquilidad que
>> con él vino una ola de destrucción
>> de 2021 , un destrozador remolino tomó
>> , ubicada a unos 20 kilómetros de
>> de Schrattenberg , un poblado de 800
>> ese día hacía un tiempo maravilloso :
>> se convirtió en una lluvia de granizos
>> WhatsApp : A un vecino se le
>> Un 90 por ciento
>> Una amiga de allí
>> cada esquina , una cantidad impresionante de
>> poblado estaba hecho un desastre .
>> amiga acompañamos a un concejal y unos
>> Un matrimonio nos contó
>> “ Llamé a una compañía de tejadores
>> Una vecina reporta que
>> familia también tenía una vinícola .
>> , aún quedan unos edificios por reparar
>> preocupación de que una tormenta de tal

ARE1_3 - unas
>> estar conectados por un mercado global ,
>> ven afectadas por una falta de herramientas
>> , se necesita un marco reglamentario para

ARE1_4 - unas
>> la policía detuvo un Maserati en las
>> y estaba teniendo un ataque , razón
>> en cuestión es un Maserati Quattroporte GTS
>> automovilistas como también un propietario de una
>> , conduciendo a unos 200 km/h en
>> la atención a unos de los empleados
>> enseguida y mandó una patrulla de agentes
>> logró mantener en un cruce cerca de
>> Una sorpresa estaba esperando
>> de que era un carné de discapacitado
>> el chofer , un hombre de 28

",,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",lleguen a ser (persona más reflexiva) [personas más reflexivas],persona más reflexiva,,personas más reflexivas,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']","es una solución que tal vez no sea ideal, pero [que] puede funcionar",,,que,"ARE1_2 - que
>> Ese territorio que queda en la
>> esperaba el tornado que llegó a los
>> ola de destrucción que no se había
>> por el pedrisco que la tormenta trajo
>> de 800 personas que es separado solo
>> Recuerdo que ese día hacía
>> Era nada insólito que de vez en
>> me había comentado que estaban buscando a
>> de el perjuicio que dejó la tormenta
>> revisar los siniestros que había .
>> matrimonio nos contó que ellos no habían
>> Otro problema que se dio fue
>> Resulta que muchas casas estaban
>> Una vecina reporta que los bomberos llegaron
>> advertían los tejadores que mantuviéramos la distancia
>> máquinas , sino que además se había
>> grandiosa , espero que todo saldrá bien
>> El alcalde informa que se espera terminar
>> la preocupación de que una tormenta de
>> Esperemos que lo hayan hecho

ARE1_3 - que
>> El audio que escuchamos habla sobre
>> Otro aspecto que propuso la narradora
>> Para que el libre mercado
>> se puede evitar que burbujas financieras destruyan
>> donaciones de microcréditos que levantarán la fuerza
>> quiero subrayar lo que propuso la experta
>> procurar consenso para que las identidades nacionales

ARE1_4 - que
>> Resulta que el acompañante era
>> de color negro que causó desorden el
>> a los oficiales que había un coche
>> Testigos oculares aseguran que se serpenteaba por
>> Fusion 2 "" que , además de
>> Resulta que la imagen que
>> dieron cuenta de que era un carné
>> Se comprobó que el chofer ,

"
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",puede funcionar para (generar) [ganar] tiempo hasta que se decida qué hacer,generar,,ganar,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",intentar (a) encontrar una solución,a,"ARE1_2 - a
>> general , estamos a salvo de graves
>> tornado que llegó a los fines de
>> Ves , ubicada a unos 20 kilómetros
>> A diferencia de mis
>> A el atardecer ya
>> granizos que iba a dejar algunas fachadas
>> por WhatsApp : A un vecino se
>> dio por ver a el día siguiente
>> , me subí a el coche y
>> que estaban buscando a gente para asistir
>> Ya cuando llegué a la aldea me
>> mi amiga acompañamos a un concejal y
>> Caminamos de casa a casa bajo el
>> “ Llamé a una compañía de
>> el pedrisco continuó a llover .
>> pudieron subir se a el techo por
>> distancia porque continuaban a caer tejas .
>> solo les iba a costar mucho dinero
>> tal dimensión vuelva a ocurrir , pero

ARE1_3 - a
>> experta en cuanto a la desigualdad como
>> necesario para llevar a cabo actividades para
>> de manejar las a nivel global .
>> involucrados , - a nivel de el
>> trabajar juntos , a nivel global ,
>> Necesitamos llegar a acuerdos y procurar

ARE1_4 - a
>> Detienen Maserati a 230 km/h en
>> Este jueves a las 8 y
>> Estaba andando a 230 km/h y
>> estaba de camino a el hospital .
>> de servicio avisaron a los oficiales que
>> de incorporar se a el Boulevard Brune
>> llamó la atención a unos de los
>> el joven informó a los guardias .
>> en total llegaron a la comisaría esa
>> sorpresa estaba esperando a los oficiales ,
>> A el mirar la
>> el joven , a menudo padeciera ataques
>> Debido a la gravedad de
>> "" Vamos a el Hospital Bichat

",,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",cuando hablamos de la cárcel y (todos) [todas] sus consecuencias,todos,"ARE1_2 - todos
>> y cerrar bien todas las ventanas .
>> noticia estaba por todos lados : la
>> , espero que todo saldrá bien .
>> estaban movilizadas en toda Baja Austria durante

ARE1_3 - todos
>> Solo cuando todos los países estén

",todas,"ARE1_2 - todas
>> y cerrar bien todas las ventanas .
>> noticia estaba por todos lados : la
>> , espero que todo saldrá bien .
>> estaban movilizadas en toda Baja Austria durante

ARE1_3 - todas
>> Solo cuando todos los países estén

"
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",todas sus consecuencias y efectos (que vienen con ella como sistema),que vienen con ella como sistema,,,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",creo que es necesario (verlo) [verlos] desde dos puntos de vista diferentes,verlo,,verlos,
ARE1,ARE1_1,"['ARE1_2', 'ARE1_3', 'ARE1_4']",porque (las dos cosas) [ambas perspectivas] están inevitablemente entrelazadas,las dos cosas,,ambas perspectivas,
