participant_ID,text_ID,docs_to_search,error,error_item,error_context,solution_item,solution_context
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",para reinsertarlos en (la misma sociedad) [ella],la misma sociedad,,ella,"AMN1_2 - ella
>> infinita llanura carmesí se extendía debajo de
>> de el casco se empañaba .
>> dos drones , les quedaban unos lejanos
>> psicológicamente , no les habría parecido nada
>> de aire que se siente en las
>> de los taikonautas se parecía a el
>> No se daban cuenta .
>> su mente no les pudo proporcionar la
>> de el pasado se habría aburrido era
>> la base que les protegía de el
>> camino hasta encontrar se rendidos .
>> Aunque sus aparatos les indicaban , sin
>> seguir , simplemente lo abandonaron .
>> común era llevar se el recipiente de
>> cuando sus colegas les quitaban el oxígeno
>> sus sueños finalmente se acercaba .
>> podemos respirar por él ” , constató
>> que sobraba en ellos corrían en dirección
>> comenzar a encaminar se hacia la última
>> la medida que se acercaban obligaron a
>> Aparentemente , se enfrentaron a un
>> de el objeto se dieron cuenta que
>> y incrédulos ignoraron lo imposible y siguieron
>> avanzada los drones se marearon abandonando a
>> Se acumularon los residuos
>> mucho afán superar se uno a el
>> aumentada sus cascos se convirtieron en opacas
>> Lentamente se aproximaba el fin
>> su suavidad y se puso dura .
>> Grietas chicas se abrieron en el
>> y el tiempo se asustaron con el
>> punto de desmayar se por el cansancio
>> el resplandor cuando se quitaron los cascos

AMN1_3 - ella
>> para "" traer les la cultura de
>> Además , se divulga la noticia
>> la televisión italiana se dirigó a su
>> que , según él , solamente la
>> lenguas romances que se hablan en las

AMN1_4 - ella
>> tu profesión no lo exige ?
>> que estos desgraciados se hayan marchado …
>> extraña de personas se ha ido tenemos
>> Hoy se publican videos ,
>> los mismos aprendices se convierten en versiones
>> Por Instagram se ven un montón
>> Lo que realmente supone
>> dicho que no lo hicieras , aprovecharé
>> podrías aprender de ellos .
>> un pecado alejar se de personas que
>> Lo acepto .
>> reflexiona qué exactamente le da la autoridad
>> A lo mejor el gurú
>> maravillas cuando no se trata de ti.
>> No cuestiones lo que escribo .

"
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",no (lo podía) [pudo hacerlo] porque mi tío estaba preso,lo podía,"AMN1_2 - lo podía
>> su mente no les pudo proporcionar la anhelada

AMN1_4 - lo podía
>> venden libros o se pueden adquirir sesiones privadas

",pudo hacerlo,
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",(nadie) [ninguno] de ellos olvidará jamás la sensación,nadie,"AMN1_4 - nadie
>> No dejes que nadie te pare !

",ninguno,"AMN1_2 - ninguno
>> En ninguna circunstancia era válido

AMN1_4 - ninguno
>> no disponen de ninguna formación o estudio

"
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",la sensación (del) [de] frío glacial,del,,de,"AMN1_2 - de
>> primera ascensión humana de el Monte Olimpo
>> se extendía debajo de sus pies .
>> , el cristal de el casco se
>> hacia la cumbre de la montaña más
>> en una altura de aproximadamente 22 mil
>> A el equipo de ocho taikonautas y
>> los acantilados escarpados de el Mount Everest
>> , la falta de aire que se
>> el peso corporal de los taikonautas se
>> Aquí pesaban menos de la mitad .
>> y mística cuna de su especie ni
>> los recuerdos escasos de la tierra que
>> que un montañero de el pasado se
>> seguir un trayecto de 300 kilómetros para
>> Cada día de nuevo erigían y
>> desvanecer se detrás de la línea donde
>> Cuando un taikonauta de el equipo no
>> se el recipiente de oxígeno y dejar
>> el nuevo hogar de la humanidad no
>> un mar infinito de desierto , polvo
>> arriesgar el éxito de la misión .
>> en el delirio de la agonía cuando
>> constituyó el límite de su existencia frágil
>> que el lugar de sus sueños finalmente
>> Las temperaturas de la última noche
>> , constató uno de los Taikonautas sin
>> entre los acantilados de el volcán dado
>> alzar la bandera de el patrocinador de
>> a el hecho de que no habían
>> , en cuestión de unos minutos ya
>> forma azul destacó de la superficie rojísima
>> el estar enfrente de el objeto se
>> tenacidad la punta de su nariz .
>> De repente , hallaron
>> Una botella de plástico , bolsas
>> A pesar de su tecnología avanzada
>> la asquerosa masa de objetos desaceleró su
>> en opacas esferas de vapor y acabaron
>> Similar a telas de araña estaban colgadas
>> Un sinfín de colores y banderas
>> aproximaba el fin de el viaje de
>> con el páramo de la muerte que
>> A el punto de desmayar se por

AMN1_3 - de
>> Noticia de última hora
>> horas el presidente de la República Italiana
>> les la cultura de una civilización avanzada
>> Según el jefe de el estado ,
>> a los habitantes de las regiones que
>> bajo el control de el poderoso imperio
>> reestablecer el equilibrio de poder .
>> negó el derecho de los pueblos atacados
>> velocidad en cuestiones de la tecnología o
>> Desde su punto de vista las democracias
>> seguridad y soberanía de Europa propuso una
>> reiteradamente el imperador de la continua contaminación
>> y sofisticada "" de el latín sería
>> final , antes de concluir su preocupante

AMN1_4 - de
>> y una frase de mierda
>> garantizar la dignidad de el lector y
>> El bienestar de nuestros lectores siempre
>> acabarían contigo dentro de unos segundos ?
>> cien por ciento de tu rendimiento en
>> Peaky Blinders es de lejos la mejor
>> frase super inspiradora de Pinterest ?
>> tus amigos están de mal humor o
>> identificar con más de la mitad de
>> esta especie extraña de personas se ha
>> años los contenidos de autoayuda y desarrollo
>> adquirir sesiones privadas de entrenamiento con maestros
>> ven un montón de páginas ( o
>> en muchas escuelas de Yoga antes de
>> , la falta de conocimiento no es
>> personas que salen de la puerta infernal
>> te unos consejos de autoayuda :
>> las personas alrededor de ti también tengan
>> En vez de intentar superar los
>> pecado alejar se de personas que únicamente
>> observa unos carnívoros de carne y hueso
>> Antes de seguir las recomendaciones
>> no se trata de ti. ( qué

"
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",(kilógramos) [kilogramos],kilógramos,,kilogramos,
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']","por muy encantadora que sea la vista, el brillo del sol me está cegando y evito (mirarlo) [mirarla]",mirarlo,,mirarla,
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",un lugar donde (hay) las posibilidades de educarse o formarse son limitadas,hay,"AMN1_2 - hay
>> , no les habría parecido nada extraordinario
>> especie ni siquiera habían alcanzado la adolescencia
>> la tierra que han mantenido en su
>> el pasado se habría aburrido era la
>> Tales criaturas habían permanecido en la
>> tres taikonautas que habían sobrevivido el ascenso
>> la planificación nunca había incluido regresar .
>> de que no habían comido durante días
>> Ya habían gastado todo su
>> Si hubieran tenido un dios
>> Allá dentro había una brillante antorcha

AMN1_3 - hay
>> Italiana Sergio Mattarella ha declarado la guerra
>> , el presidente ha movilizado sus tropas
>> todavía no se ha podido confirmar .
>> continente Europa no habría avanzado con la
>> vista las democracias han frenado o impedido

AMN1_4 - hay
>> , pero siempre has sabido que mereces
>> Como apellido te han puesto mamarracho ?
>> serie que jamás ha sido producido ?
>> Si te has podido identificar con
>> estos desgraciados se hayan marchado …
>> de personas se ha ido tenemos la
>> a pesar de haber leído unos libros
>> tus sueños sin haber cumplido los suyos
>> no hace falta haber participado en muchas
>> a que te he dicho que no

",,
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",(dentro de) [en cuestión de] unos segundos todo se ha acabado,dentro de,"AMN1_4 - dentro de
>> que acabarían contigo dentro de unos segundos ?

",en cuestión de,"AMN1_2 - en cuestión de
>> No obstante , en cuestión de unos minutos ya

AMN1_3 - en cuestión de
>> la misma velocidad en cuestiones de la tecnología o

"
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",en muchos casos (cause el contrario) [cause lo contrario],cause el contrario,,cause lo contrario,
AMN1,AMN1_1,"['AMN1_2', 'AMN1_3', 'AMN1_4']",la condena sigue (presentando efectos en) [afectando] su día a día,presentando efectos en,,afectando,
